Identifiant entrepôt,Nom court de l'emplacement,Description entrepôt,Lieu entrepôt,Adresse,Code postal,Ville,Departement,Code pays,Téléphone,Fax,État,Entrepôt parent,Nom court de l'emplacement,
442,FRIG-P2,Frais picking,Stock en attente d'expe,,,,,,,,1,368,FRIG-MAIN,
443,FRIG-P3,Frais picking,Stock en attente d'expe,,,,,,,,1,368,FRIG-MAIN,
444,FRIG-P4,Frais picking,Stock en attente d'expe,,,,,,,,1,368,FRIG-MAIN,
475,SEC-E13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
476,SEC-E23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
478,SEC-E43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
479,SEC-E53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
480,SEC-E12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
481,SEC-E22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
483,SEC-E42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
484,SEC-E52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
485,SEC-E11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
486,SEC-E21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
487,SEC-E31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
488,SEC-E41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
489,SEC-E51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
490,SEC-F13,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
491,SEC-F23,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
493,SEC-F43,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
494,SEC-F53,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
495,SEC-F12,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
496,SEC-F22,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
498,SEC-F42,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
499,SEC-F52,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
500,SEC-F11,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
501,SEC-F21,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
502,SEC-F31,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
503,SEC-F41,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
504,SEC-F51,Rangée/Travée/Etage,Stock Produits Secs,,,,,,,,1,247,SEC-MAIN,
